id,trial,trialord,blink,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8008,6,4,1,10.480493,1,1,right,first,red,14,1
8008,7,7,0,10.480493,1,1,right,first,red,14,
8008,8,5,0,10.480493,1,1,right,first,red,14,1
8008,9,6,0,10.480493,1,1,right,first,red,14,0
8008,10,10,0,10.480493,1,1,right,first,red,14,
8008,11,7,0,10.480493,1,1,right,first,red,14,0
8008,12,8,0,10.480493,1,1,right,first,red,14,1
8008,13,13,0,10.480493,1,1,right,first,red,14,
8009,1,1,2,12.353183,1,1,left,second,blue,12,
8009,2,1,1,12.353183,1,1,left,second,blue,12,0
8009,3,2,1,12.353183,1,1,left,second,blue,12,1
8009,4,4,2,12.353183,1,1,left,second,blue,12,
8009,5,3,1,12.353183,1,1,left,second,blue,12,1
8009,6,4,2,12.353183,1,1,left,second,blue,12,0
8009,7,7,1,12.353183,1,1,left,second,blue,12,
8009,8,5,2,12.353183,1,1,left,second,blue,12,0
8009,9,6,2,12.353183,1,1,left,second,blue,12,1
8009,10,10,1,12.353183,1,1,left,second,blue,12,
8009,11,7,1,12.353183,1,1,left,second,blue,12,1
8009,12,8,2,12.353183,1,1,left,second,blue,12,0
8009,13,13,2,12.353183,1,1,left,second,blue,12,
8010,1,1,2,4.1396303,0,1,right,second,blue,8,
8010,2,1,0,4.1396303,0,1,right,second,blue,8,0
8010,3,2,2,4.1396303,0,1,right,second,blue,8,1
8010,4,4,3,4.1396303,0,1,right,second,blue,8,
8010,5,3,0,4.1396303,0,1,right,second,blue,8,1
8010,6,4,1,4.1396303,0,1,right,second,blue,8,0
8010,7,7,3,4.1396303,0,1,right,second,blue,8,
8010,8,5,2,4.1396303,0,1,right,second,blue,8,0
8010,9,6,2,4.1396303,0,1,right,second,blue,8,1
8010,10,10,2,4.1396303,0,1,right,second,blue,8,
8010,11,7,1,4.1396303,0,1,right,second,blue,8,1
8010,12,8,2,4.1396303,0,1,right,second,blue,8,0
8010,13,13,2,4.1396303,0,1,right,second,blue,8,
